"","MeanDecreaseAccuracy"
"dist_to_infest_km",52.6915947753487
"max_Ca",27.9291000881304
"summer_mean_temp",17.6555643492992
"surface_area_km",12.4778975809359
"total_precip",15.5996494142816
"perc_shrubscrub_25mi",14.5877826554926
"max_pH",12.1067738165771
"perc_forest_25mi",12.6497316012979
"perc_open_water_25mi",11.8369108705554
"perc_crops_25mi",10.3547910963813
