OBJECTID,name,dam_name,district,dist_sym,division,div_sym,dry,dist_to_infest_km,surface_area_km,connectivity,num_connections,perc_open_water_25mi,perc_perennial_snowice_25mi,perce_dev_openspace_25mi,perc_dev_lowintensity_25mi,perc_dev_medintensity_25mi,perc_dev_highintensity_25mi,perc_barren_25mi,perc_forest_25mi,perc_shrubscrub_25mi,perc_herbaceous_25mi,perc_haypasture_25mi,perc_crops_25mi,perc_wetland_25mi,perc_open_water_50mi,perc_perennial_snowice_50mi,perce_dev_openspace_50mi,perc_dev_lowintensity_50mi,perc_dev_medintensity_50mi,perc_dev_highintensity_50mi,perc_barren_50mi,perc_forest_50mi,perc_shrubscrub_50mi,perc_herbaceous_50mi,perc_haypasture_50mi,perc_crops_50mi,perc_wetland_50mi,mean_elev_m,mean_slope,perc_CaO_25mi,perc_alluvial_25mi,perc_eolian_25mi,perc_glacial_glaciofluvial_25mi,perc_colluvial_25mi,perc_organic_rich_25mi,perc_proglacial_25mi,perc_resid_volcanic_art_wat_25mi,hardness_range,min_hardness,max_hardness,pH_range,pH_min,pH_max,infest_status
2,Santa Rosa Reservoir,Santa Rosa Dam,Albuquerque District,SPA,South Pacific Division,SPD,No,351.5422777,27.66958801,None,0,0.115959034,0,0.330862336,0.130741463,0.077015637,0.009337704,0.010168024,1.259024632,94.24645004,3.325379497,0.003729637,0.115074266,0.376257732,0.15041025,0,0.469077015,0.133700147,0.078955623,0.010979048,0.018252039,7.176185429,82.39649774,8.496530895,0.020365921,0.589850406,0.459195486,1447.027027,0.595404167,13.53349255,0,0,0,0,0,0,100,779.0-3200.0,779,3200,8.1-8.4,8.1,8.4,0
3,Conchas Reservoir,Conchas Dam,Albuquerque District,SPA,South Pacific Division,SPD,No,308.783223,35.54552759,None,0,0.24475187,0,0.285653566,0.068811234,0.032418289,0.001515338,0.014619282,6.059027866,88.21987698,4.460520548,0.00217364,0.039721719,0.570909666,0.249278476,0,0.470670742,0.134805397,0.068741898,0.008968411,0.017080763,4.70760022,79.15473037,13.56158607,0.023594894,1.096299169,0.506643587,1283.408163,0.547816302,17.25434698,0,0,0,0,0,0,100,430.0-779.0,430,779,8.1-8.4,8.1,8.4,0
4,Cochiti Reservoir,Conchiti Lake,Albuquerque District,SPA,South Pacific Division,SPD,No,311.2756432,6.350849888,None,0,0.219511355,0,2.328839021,1.157707121,0.689505635,0.158542253,0.127246003,21.91599957,62.47946757,9.45062025,0.101977494,0.437060519,0.933523209,0.159972897,0,2.137279948,1.191082994,1.049769731,0.275906697,0.147509522,33.80889024,50.76946975,8.744506627,0.425931726,0.598316822,0.691363046,1644.454545,1.297042283,5.063879859,64.19263456,0,0,4.121813031,0,0,31.68555241,45.0-225.0,45,225,8.1-8.4,8.1,8.4,0
5,Abiquiu Reservoir,Abiquiu Dam,Albuquerque District,SPA,South Pacific Division,SPD,No,265.9200626,16.71244713,None,0,0.328157733,0,0.787416992,0.231998357,0.080139659,0.013555145,0.100855754,45.43034162,46.54457452,4.406832341,0.131772438,0.697528582,1.246826864,0.202088092,0,1.078985505,0.406374185,0.199401648,0.046479757,0.097669515,37.04009462,55.85367769,3.404000655,0.280607482,0.310111855,1.080508987,1888.333333,1.193717149,9.340822147,70.02960969,0,0,0,0,0,29.97039031,45.0-119.0,45,119,7.8-8.1,7.8,8.1,0
6,Trinidad Reservoir,Trinidad Dam,Albuquerque District,SPA,South Pacific Division,SPD,No,124.91683,5.049380557,None,0,0.106641722,0,0.594193808,0.302117553,0.122911763,0.02328326,0.070916667,39.46707066,27.99153017,28.80718166,0.051696995,0.920222201,1.542233542,0.124208125,0.000737301,0.487335066,0.152117255,0.061812475,0.010522159,0.333351648,27.29920308,26.97724002,42.59250658,0.165280367,0.634874391,1.160811533,1909.857143,0.874113659,8.128892534,0,0,0,0,0,0,100,119.0-225.0,119,225,7.8-8.1,7.8,8.1,0
7,John Martin Reservoir,John Martin Dam & Reservoir,Albuquerque District,SPA,South Pacific Division,SPD,No,143.3030452,45.81410142,None,0,0.711391794,0,1.17305815,0.439576739,0.186295734,0.046819374,0.060975302,0.001087897,8.691886066,71.6820268,0.078036712,14.02616366,2.902681772,0.338804891,0,1.202896803,0.312646264,0.111568487,0.019388473,0.026737729,0.508051131,13.67160103,63.45933174,0.169650087,18.74506025,1.434263115,1175.926471,0.171065497,19.13371001,1.390552882,5.194932731,0,0,0,0,93.41451439,225.0-400.0,225,400,7.8-8.1,7.8,8.1,0
11,Aquilla Lake,Aquilla Dam,Fort Worth District,SWF,Southwestern Division,SWD,No,36.42390069,12.25771299,None,0,2.957015729,0,4.323570048,1.734558165,1.009823447,0.308664768,0.135348231,12.54544191,0.585614321,42.84323558,12.20423495,18.26761518,3.084877661,2.072304271,0,4.231789512,2.882221687,2.271163246,0.767876237,0.245941897,13.11331343,1.752311525,43.05155868,13.3970624,13.79583188,2.41862523,160.8235294,0.310877385,18.37454146,96.12676056,0,0,0,0,0,3.873239437,119.0-225.0,119,225,7.8-8.1,7.8,8.1,0
12,Hords Creek Lake,Hords Creek Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,32.44450923,1.754648609,None,0,1.459642753,0,2.261328018,0.467838854,0.219933102,0.047032202,0.026574839,3.474660168,62.77970182,13.37770147,0.152377757,15.51620309,0.217005923,0.855854441,0,2.55109071,0.79089882,0.479968125,0.160559948,0.075174702,7.260938813,59.19218719,10.16442561,1.112099819,17.19407768,0.162724139,580.5,0.154186916,13.95865092,0,0,0,0,0,0,100,430.0-779.0,430,779,8.1-8.4,8.1,8.4,1
13,O. C. Fisher Lake,O C Fisher Dam and Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,73.51206893,5.739943054,None,0,0.61389227,0,2.218232828,1.252433705,0.935547874,0.353171323,0.101973918,1.567462845,69.95810922,2.803346396,0.066552747,19.91143587,0.217841002,0.598964086,0,1.374750475,0.783438812,0.44492226,0.123175373,0.058016135,1.129174232,80.83660925,3.153955452,0.044104554,11.35914509,0.093744275,581.8888889,0.096090271,11.01529153,0,0,0,0,0,0,100,430.0-779.0,430,779,8.1-8.4,8.1,8.4,0
14,Whitney Lake,Whitney Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,35.17065412,95.82309019,None,0,2.493517568,0,4.260623457,2.017096382,1.281870696,0.364154182,0.291401445,16.10308631,1.035459731,52.25043045,6.657465886,11.0088234,2.236070501,1.895415361,0,4.460731963,3.442857538,2.864787585,1.22065678,0.263085819,14.86016169,5.532526272,43.94838378,8.806287064,10.89376705,1.811339101,161.5413534,0.35817492,20.72747901,2.551168973,0,0,0,0,0,97.44883103,119.0-325.0,119,325,7.8-8.4,7.8,8.4,0
15,Waco Lake,Waco Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,33.68199411,34.77057843,None,0,2.336992684,0,4.535091772,1.957955359,1.404805896,0.548832843,0.187646011,11.00900612,0.851161291,39.67884093,12.16183567,21.95721138,3.370620043,1.65017696,0,3.544634901,1.878588101,1.259604842,0.41968604,0.279836563,14.61964453,5.046683438,37.64598244,15.26163106,15.77696385,2.616567265,140.3125,0.304951572,21.12927608,4.534272471,0,0,0,0,0,95.46572753,119.0-225.0,119,225,7.8-8.1,7.8,8.1,1
16,Navarro Mills Lake,Navarro Mills Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,55.81467414,19.14387856,None,0,2.557822789,0,3.242185566,1.821632144,0.977816156,0.336152645,0.121749403,8.870475078,0.690621966,35.49699076,23.49326379,19.635626,2.755663711,3.482042119,0,3.968032219,3.046611189,2.076696447,0.740422117,0.347021231,13.08764455,0.81441411,28.21941611,25.42698584,12.99124841,5.799465662,129.5714286,0.231793641,13.1235352,0,0,0,0,0,0,100,119.0-225.0,119,225,7.8-8.1,7.8,8.1,0
17,Proctor Lake,Proctor Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,47.28670651,19.27747206,None,0,0.884939359,0,3.015656101,0.722475944,0.330301581,0.09934167,0.129050148,15.70970846,35.48284065,29.14398887,7.120885018,6.621187576,0.739624626,0.877575862,0,2.602999902,0.73736369,0.367618739,0.09575427,0.128732192,18.35498612,34.78559595,33.06218808,3.299320995,5.134474933,0.553389255,354.952381,0.252040875,15.03327197,0,0,0,0,0,0,100,325.0-430.0,325,430,8.1-8.4,8.1,8.4,0
18,Sam Rayburn Reservoir,Sam Rayburn Dam and Reservoir,Fort Worth District,SWF,Southwestern Division,SWD,No,87.39591623,458.0630673,None,0,6.139295812,0,3.235453324,1.676675343,0.671414433,0.229816964,0.105934965,52.38404231,5.081335697,6.04005401,9.203739834,0.000784194,15.23145311,3.669033839,0,3.219069592,1.814543467,0.617417282,0.212878168,0.125303542,51.72636043,5.500212224,6.23089327,11.26374389,0.030037835,15.59050645,49.57210031,0.164508322,5.887176505,0.029668227,0,0,0,0,0,99.97033177,45.0-119.0,45,119,6.8-7.3,6.8,7.3,0
19,Steinhagen Lake,Town Bluff Dam,Fort Worth District,SWF,Southwestern Division,SWD,No,80.97458269,37.29929817,None,0,5.440457404,0,3.311599967,1.317253938,0.44316289,0.102893246,0.099417791,54.23632529,5.140791245,6.563735747,4.231451172,0.004012314,19.108899,3.953895656,0,3.443552688,1.932224675,0.665975283,0.221983877,0.144784605,50.08425896,5.13464444,5.970548783,6.407787962,0.145170897,21.89517218,25.10204082,0.09155667,4.032881933,7.736272216,0,0,0,0,0,92.26372778,45.0-119.0,45,119,6.8-7.3,6.8,7.3,0
20,Jim Chapman Lake,Jim Chapman Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,54.04513645,72.72971377,None,0,2.128209926,0,3.050263256,2.240830596,0.824066984,0.312631759,0.068951431,13.30299038,0.624783066,15.03535936,44.7307148,10.66564361,7.015554845,3.435464794,0,2.880677961,2.901083091,1.421818473,0.422151604,0.195319156,20.24943135,1.538973817,13.06903588,38.91995974,6.616744701,8.349339443,129.5809524,0.200348438,9.941711842,0.873946251,0,0,0,0,0,99.12605375,119.0-225.0,119,225,7.3-7.8,7.3,7.8,0
21,Lake O' The Pines,Ferrells Bridge Dam,Fort Worth District,SWF,Southwestern Division,SWD,No,75.14753057,72.066286,None,0,2.798334331,0,2.932290402,4.188485442,1.733914594,0.602631021,0.351825971,42.02158554,5.183837292,3.713917796,22.0960368,0.002101272,14.37503954,2.986120856,0,2.910603653,4.112632776,1.650514269,0.620152075,0.297874385,36.31163953,3.734588104,3.151912785,26.80128959,1.449706922,15.97296506,69.93,0.265001926,1.005652546,0.469354637,0,0,0,0,0,99.53064536,45.0-119.0,45,119,6.8-7.3,6.8,7.3,0
22,Wright Patman Lake,Wright Patman Dam and Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,115.9555302,99.90842548,None,0,2.727060824,0,2.779643032,3.197220565,1.199779852,0.372452481,0.268862868,35.93050765,4.572614107,3.471988945,23.95517323,4.692206497,16.83248995,2.982221435,0,2.487439159,2.667705847,0.898066408,0.26431147,0.243754619,39.05057187,4.174709762,3.466672248,24.45986731,3.382288034,15.92239184,69.26865672,0.111392425,1.473492283,0.350390474,0,0,0,0,0,99.64960953,45.0-119.0,45,119,6.8-7.3,6.8,7.3,0
23,Somerville Lake,Somerville Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,31.84906233,46.8199014,None,0,1.560839296,0,3.9937006,1.80316077,1.403966344,0.411063016,0.214299894,18.59768089,2.275602491,0.669431037,60.05811085,4.483852065,4.528292749,1.17105794,0,3.738147948,1.767072572,1.016196893,0.29306413,0.232871775,22.14491597,4.078784995,1.439680973,52.21205665,6.634026625,5.272123534,73.48387097,0.127141866,7.614730103,0,0,0,0,0,0,100,119.0-225.0,119,225,7.3-7.8,7.3,7.8,0
24,Grapevine Lake,Grapevine Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,11.98192727,26.70875457,None,0,4.52903594,0,9.306595491,14.6245925,18.59716976,10.37823102,0.312984506,7.929657048,0.39781773,22.32756207,6.65558745,3.613704655,1.327061825,3.245357331,0,5.993721114,7.46159496,8.62827941,4.008931818,0.352841466,12.34981156,1.121432838,38.15173513,9.910708646,7.458168608,1.317417122,164.2619048,0.296738918,20.2121056,2.390183056,0,0,0,0,0,97.60981694,119.0-225.0,119,225,7.8-8.1,7.8,8.1,1
25,Lewisville Lake,Lewisville Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,0.43768042,112.1166817,None,0,4.94112584,0,7.18567019,10.92712054,15.41048981,8.055090797,0.298612617,8.331938122,0.48626382,26.29614731,8.595863358,8.277732769,1.193944822,3.950793441,0,5.788746367,7.000729061,7.909769157,3.685302766,0.357034022,14.32938607,1.110683958,35.46621712,11.84957865,7.283450892,1.268308496,158.3558282,0.177189779,20.17979993,6.444440877,0,0,0,0,0,93.55555912,119.0-225.0,119,225,7.8-8.1,7.8,8.1,1
26,Lake Ray Roberts,Ray Roberts Dam,Fort Worth District,SWF,Southwestern Division,SWD,No,0.866707337,110.9468065,None,0,4.468172579,0,4.408112232,4.227681301,5.791912192,2.028699024,0.25483275,14.98510008,0.90953182,39.66280809,12.36101266,10.22331845,0.678818819,4.225449418,0,5.04101595,5.755507925,6.58217949,3.219616666,0.323540253,17.6655919,1.549798513,37.64502217,10.78782067,6.276045651,0.928411401,191.0333333,0.180937403,20.34547233,4.934047849,0,0,0,0,0,95.06595215,119.0-225.0,119,225,7.8-8.1,7.8,8.1,1
27,Canyon Lake,Canyon Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,25.58611203,33.64192534,None,0,0.78583002,0,5.951925142,4.623775842,4.258386096,1.599198319,0.686843184,32.80988046,33.86819108,6.800744418,2.438360978,5.712565966,0.464298496,1.045399393,0,5.508648413,4.211065142,4.098065292,1.751516513,0.489975127,27.06166578,35.18130961,4.770462648,10.38633199,4.22008598,1.275474113,278.4473684,0.388397574,21.78263457,0.010705778,0,0,9.327409469,0,0,90.66188475,119.0-225.0,119,225,7.8-8.1,7.8,8.1,1
28,Benbrook Lake,Benbrook Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,15.56706776,15.20177285,None,0,2.859398002,0,8.181551433,9.992167056,9.786858087,4.270016379,0.417532375,10.96244421,1.032712172,43.21411741,5.765790735,2.677732891,0.839679258,2.784328453,0,5.80443698,6.588578806,6.932419053,3.574983318,0.386058413,14.88503339,2.499302562,43.2765671,6.111920796,5.789895212,1.366475914,213,0.347698075,19.00221457,0,0,0,0,0,0,100,225.0-325.0,225,325,7.8-8.1,7.8,8.1,0
29,Joe Pool Lake,Joe Pool Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,24.50288963,26.4406035,None,0,2.074808998,0,9.818291599,13.8230808,14.64225408,8.932357653,0.369317539,9.570048956,0.675099232,24.31191572,6.367993303,7.540277678,1.874554443,3.513742603,0,6.201806265,7.51214511,8.618017633,4.044361068,0.319719652,10.87572512,0.875381381,33.69122505,12.58613544,9.342875612,2.418865062,156.6764706,0.276464161,17.71057155,0,0,0,0,0,0,100,225.0-325.0,225,325,7.3-8.1,7.3,8.1,0
30,Lavon Lake,Lavon Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,5.025585646,83.2106185,None,0,4.200858776,0,5.810659599,8.390692192,12.07942969,5.625791643,0.201363073,11.0798501,1.097115403,26.07838823,13.61872462,9.93897665,1.878150016,4.605444359,0,5.317402952,6.594556986,7.323812783,3.488477629,0.246315246,13.72364652,1.003767604,22.85721666,23.31762774,8.645671355,2.876060166,146.6,0.280710066,18.37869922,19.31917747,0,0,0,0,0,80.68082253,119.0-225.0,119,225,7.3-8.1,7.3,8.1,1
31,Bardwell Lake,Bardwell Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,60.5820072,13.10937043,None,0,2.045804552,0,3.898839492,3.402471037,2.738042737,1.087488074,0.318658731,10.86094541,0.863215789,31.80464574,22.5319335,15.97053307,4.477421869,3.669533322,0,5.245642696,6.083833227,5.776541488,3.11046653,0.239468964,11.39150206,0.777450721,24.00606308,24.70084507,9.785659793,5.212993051,129,0.224947645,14.59585053,0,0,0,0,0,0,100,119.0-225.0,119,225,7.8-8.1,7.8,8.1,0
32,Stillhouse Hollow Lake,Stillhouse Hollow Dam,Fort Worth District,SWF,Southwestern Division,SWD,No,7.976276446,25.83268399,None,0,1.709600728,0,4.52126839,3.015913442,2.590595333,0.859997375,0.665491903,18.08332161,11.40292089,35.94440728,5.309278997,13.79114006,2.10606399,1.845469015,0,4.191691732,2.8642503,2.662587,1.015129374,0.422039341,19.93346119,15.73749065,24.16341302,11.28380166,13.67441002,2.206256702,192.4146341,0.47786334,23.54081806,0,0,0,0,0,0,100,119.0-225.0,119,225,7.8-8.1,7.8,8.1,1
33,Belton Lake,Belton Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,0.494282843,50.48372521,None,0,1.682583993,0,4.504263924,2.84497358,2.310542897,0.86755724,0.441153421,14.63491369,7.45938612,38.5020176,6.584459782,17.62690419,2.541243561,1.355612843,0,3.738390865,2.208367633,1.953148219,0.672246136,0.352104729,17.10408169,13.26156119,29.05801006,12.721714,15.2694501,2.305312528,184.1891892,0.501941976,23.88877308,0,0,0,28.0569126,0,0,71.9430874,119.0-225.0,119,225,7.8-8.1,7.8,8.1,1
34,Georgetown Lake,North San Gabriel Dam,Fort Worth District,SWF,Southwestern Division,SWD,No,0.221605461,4.918152467,None,0,2.053227606,0,5.345141338,4.855827483,5.458797261,2.048618938,0.812465371,24.38113179,13.9795755,24.80939921,2.676546197,12.27564955,1.303619748,1.74139321,0,4.412960181,3.126837644,3.010835241,1.143854982,0.464927808,24.94590515,22.52165828,17.67038178,10.32627181,8.72860399,1.906369931,244.8,0.337564036,25.72831208,0,0,0,0,0,0,100,119.0-225.0,119,225,7.3-8.1,7.3,8.1,1
35,Granger Lake,Granger Dam and Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,19.45081167,17.59476378,None,0,1.254738274,0,4.877020508,3.346529524,3.853979523,1.397711656,0.755329458,13.89543582,4.380691294,18.81065194,22.08784765,21.7159144,3.624149955,1.373409729,0,4.59113131,3.157683284,2.985887237,1.120901072,0.485091698,22.16607926,10.06415137,15.57372682,22.63508785,12.92598481,2.920865555,153.72,0.215679541,15.24323552,3.29990791,0,0,0,0,0,96.70009209,119.0-225.0,119,225,7.3-7.8,7.3,7.8,1
36,Table Rock Lake,Table Rock Dam,Little Rock District,SWL,Southwestern Division,SWD,No,15.85961661,169.2063761,Dam,1,3.034326694,0,4.538515257,2.893428297,1.524899865,0.435017941,0.241832113,50.00132605,0.969211297,1.187797226,34.7857937,0.26735676,0.120494797,1.666904361,0,4.215679736,2.323887439,1.198410552,0.378494259,0.202376686,50.61430901,1.022105854,1.078588477,35.96313245,1.142689799,0.193421374,285.1502146,0.697094221,25.90312765,1.364893617,0,0,0,0,0,98.63510638,45.0-225.0,45,225,7.8-8.1,7.8,8.1,0
37,Greers Ferry Lake,Greers Ferry Dam,Little Rock District,SWL,Southwestern Division,SWD,No,50.41478538,125.7245163,None,0,1.780604342,0,3.62806214,1.402498581,0.531776243,0.258139408,0.309911538,61.30115133,2.259360154,2.228624209,25.2537588,0.41230921,0.633804048,2.223147102,0,3.737601136,1.896440972,0.884393658,0.344083555,0.30354657,50.60182904,1.643035189,1.858956359,20.91913424,10.90009042,4.687741762,144.3870968,0.878238204,9.479161607,0,0,0,37.35000107,0,0,62.64999893,21.0-119.0,21,119,6.5-7.8,6.5,7.8,1
38,Blue Mountain Lake,Blue Mountain Dam,Little Rock District,SWL,Southwestern Division,SWD,No,39.12942397,12.03856467,None,0,2.027568237,0,2.749164535,1.363078515,0.348245194,0.084190981,0.228141521,60.69501251,2.395208683,2.252067528,24.91428018,0.977331837,1.965710274,2.328764438,0,3.413132491,1.686052295,0.614739314,0.19769689,0.192218641,64.30838665,2.166474853,2.161057609,19.56371172,1.703747814,1.664017287,119,0.674087043,2.572620548,0,0,0,0.232035928,0,0,99.76796407,11.0-45.0,11,45,5.0-6.5,5,6.5,0
39,Millwood Lake,Millwood Dam,Little Rock District,SWL,Southwestern Division,SWD,No,170.1228456,96.81410019,None,0,2.65067476,0,3.18969612,2.711516851,1.188028403,0.408878642,0.419798066,37.91888142,5.083270193,3.927369382,26.33306321,3.382708999,12.78611396,2.334905989,0,2.745510741,1.960685562,0.665467428,0.184386617,0.265221516,49.13114497,5.296774894,4.545986426,18.82283743,2.873569332,11.1735091,79.18181818,0.087497584,7.903638505,99.19582012,0,0,0,0,0,0.804179876,45.0-119.0,45,119,6.5-7.3,6.5,7.3,0
40,DeQueen Reservoir,DeQueen,Little Rock District,SWL,Southwestern Division,SWD,No,127.5199361,6.807359817,None,0,1.669436798,0,3.199967351,1.292814097,0.354906499,0.089352194,0.218547216,59.79313604,7.763750951,5.959920946,13.17428772,0.029029409,6.454850779,1.738905353,0,2.858704219,1.536999269,0.503145404,0.149099191,0.246255116,56.38773039,5.50688231,4.268186843,18.43784447,1.57799516,6.788252267,134.8,0.441737256,4.618929029,0,0,0,99.76165254,0,0,0.238347458,45.0-119.0,45,119,6.5-7.3,6.5,7.3,0
41,Gillham Lake,Gillham Dam,Little Rock District,SWL,Southwestern Division,SWD,No,120.9723719,5.598826074,None,0,1.302569421,0,3.503458443,1.302794346,0.341405834,0.095233154,0.255679501,62.70387183,7.614378752,5.588361252,13.75187137,0,3.540376098,1.873640497,0,2.934238857,1.10753977,0.339990561,0.089081669,0.238674098,61.5779499,5.359425656,4.007560264,15.64975809,1.338137358,5.484003282,155.8571429,0.450240708,4.612133485,0,0,0,100,0,0,0,21.0-119.0,21,119,5.0-6.8,5,6.8,0
42,Dierks Reservoir,Dierks Dam,Little Rock District,SWL,Southwestern Division,SWD,No,129.2704676,6.114638879,None,0,1.200314409,0,3.620627993,1.313479,0.374664701,0.093236427,0.285064023,59.31380789,7.482082527,5.560794516,15.19431253,0.027686457,5.533929525,2.050896294,0,3.068687697,1.500730025,0.540810077,0.166972369,0.245634908,59.08333994,5.257737483,3.99803807,16.51899367,1.436458475,6.131700999,173.6,0.363884013,5.87012613,0,0,0,100,0,0,0,21.0-119.0,21,119,5.0-6.8,5,6.8,0
43,Beaver Lake,Beaver Dam,Little Rock District,SWL,Southwestern Division,SWD,No,67.72087248,116.8513977,Dam,1,2.208632945,0,5.19619957,2.488623258,1.586922608,0.488962837,0.225720609,52.90019314,0.943016903,1.076170642,32.60247423,0.128121928,0.154961334,2.014331786,0,4.378991578,1.979622611,1.018249456,0.30655173,0.174302241,53.33760474,1.132910318,1.168698245,33.44392821,0.690789145,0.354019944,345.9225806,0.659699983,24.12056559,0,0,0,0.678240117,0,0,99.32175988,45.0-119.0,45,119,7.3-8.1,7.3,8.1,0
44,Bull Shoals Lake,Bull Shoals Dam,Little Rock District,SWL,Southwestern Division,SWD,No,0.008480917,197.5522945,None,0,3.597638565,0,3.787719829,1.696349379,0.648107118,0.163465334,0.365844551,59.80575778,1.377875776,1.735348614,26.71067091,0.003584828,0.107637321,1.743993971,0,3.723735571,1.878259732,0.789199985,0.239365672,0.283599667,57.22257764,1.314847212,1.493523652,31.05089889,0.170994693,0.089003314,206.2305195,0.611867228,21.34581195,0.140321464,0,0,0,0,0,99.85967854,119.0-225.0,119,225,7.8-8.1,7.8,8.1,1
45,Norfork Lake,Norfork Dam,Little Rock District,SWL,Southwestern Division,SWD,No,16.82318186,84.36464511,None,0,2.768126534,0,3.638616183,1.206347094,0.307030192,0.073094551,0.545499582,62.82329234,1.425231854,2.127077693,25.01221972,0.00326897,0.070195286,1.626722759,0,3.574716972,1.152308329,0.354134959,0.098128097,0.346627857,61.45804831,1.66878358,1.902556152,27.61994047,0.091073845,0.106958669,173.5,0.709607967,18.73314302,1.967230613,0,0,0,0,0,98.03276939,119.0-225.0,119,225,7.8-8.1,7.8,8.1,0
46,Clearwater Lake,Clearwater Dam,Little Rock District,SWL,Southwestern Division,SWD,No,108.019639,6.299622433,None,0,0.668480957,0,3.037573862,0.396186982,0.161527011,0.02556045,0.317956968,84.79282503,0.923829858,0.810506849,7.621765475,0.267091672,0.976694883,0.625573849,0,3.238933338,0.774576078,0.305815369,0.062964025,0.224715521,68.55251928,0.884572636,0.761207478,13.91068977,8.655579326,2.002853326,157.5555556,0.860647788,19.66583487,0.200343446,0,0,0,0,0,99.79965655,119.0-225.0,119,225,7.8-8.1,7.8,8.1,0
47,Nimrod Lake,Nimrod Dam,Little Rock District,SWL,Southwestern Division,SWD,No,24.53705458,11.88583287,None,0,3.7647633,0,3.523129286,1.224670434,0.379601188,0.111267219,0.165398158,69.09223169,2.738271282,2.349062287,12.76050152,1.488409365,2.40269427,2.736320105,0,3.861878313,2.100705593,0.95895119,0.322710772,0.251529795,62.75910308,3.040956964,2.901949584,17.62830667,1.366767588,2.070820343,112.4705882,0.706599878,3.111687994,97.72796122,0,0,2.272038776,0,0,0,4.6-11.0,4.6,11,5.0-6.5,5,6.5,0
48,Arkansas River Pool  3,Joe Hardin Lock & Dam,Little Rock District,SWL,Southwestern Division,SWD,No,25.87561088,15.36909271,Lock and Dam,2,2.841198215,0,2.240987995,2.156869539,0.989137945,0.331225904,0.10944757,18.22106664,1.934711837,1.894789714,1.284045718,48.95810466,19.03841426,3.194633385,0,2.596055282,2.577632256,1.198529237,0.454017674,0.239295789,23.39678039,2.266195035,2.039293524,3.008985685,35.19640285,23.83217889,55.83333333,0.04860522,3.514492862,100,0,0,0,0,0,0,45.0-119.0,45,119,6.8-7.8,6.8,7.8,1
49,Lake Merrisach/Arkansas Post Canal/Pool 2, ,Little Rock District,SWL,Southwestern Division,SWD,No,0.060253298,41.12015427,Lock and Dam,2,4.69153767,0,1.817593127,1.486426095,0.773836304,0.240325584,0.270646948,7.681305294,0.950037958,0.735703463,0.750392437,53.75211785,26.85007727,3.386292411,0,2.194720165,1.816268177,0.802924305,0.229824567,0.180778141,14.71226538,1.564395445,1.36235991,1.336756392,49.81199441,22.6014207,49.72222222,0.047926088,1.434483031,100,0,0,0,0,0,0,45.0-119.0,45,119,7.3-7.8,7.3,7.8,1
51,Arkansas River Pool 13,James W. Trimble Lock & Dam,Little Rock District,SWL,Southwestern Division,SWD,No,19.82876622,22.14231559,Lock and Dam,2,3.339571654,0,3.408924985,2.601677724,1.141882883,0.38897013,0.276450728,45.31375018,1.713398403,3.092393134,33.40258229,3.190508382,2.129889511,2.314924929,0,3.266953878,1.642158323,0.732999661,0.221292309,0.23136116,56.71329536,1.761660618,2.652941067,27.57550853,1.483174974,1.403729196,121.1176471,0.281348198,3.087797906,93.18640161,0,0,0,0,0,6.813598387,45.0-119.0,45,119,6.8-7.8,6.8,7.8,1
52,Ozark Lake,Ozark Lock & Dam,Little Rock District,SWL,Southwestern Division,SWD,No,1.025180617,33.22558677,Lock and Dam,2,2.13664529,0,3.396551928,2.501684983,0.999510419,0.329878234,0.256905496,52.38360174,1.556011881,2.300758171,29.0505223,3.202538118,1.885391441,2.144914983,0,3.409366048,1.648612952,0.738669237,0.234535791,0.210205983,59.92802469,1.677466871,2.094453982,25.08430844,1.34347052,1.485970504,117,0.897822426,2.006230143,99.86,0,0,0.01,0,0,0.13,45.0-119.0,45,119,6.8-7.8,6.8,7.8,1
53,Dardanelle Lake,Dardanelle Lock & Dam,Little Rock District,SWL,Southwestern Division,SWD,No,0.070011079,105.4120517,Lock and Dam,2,2.491737694,0,3.216459686,1.64030073,0.529224206,0.140266165,0.202499775,58.50796193,1.974851865,2.137134675,24.18297668,2.38134722,2.595239375,2.102535447,0,3.626879638,1.699163835,0.733744062,0.231709542,0.192507697,63.27324263,2.071808306,2.15500756,20.58838289,1.715188523,1.609829866,103.7919463,0.519416548,2.135329156,29.52842154,0,0,14.68350052,0,0,55.78807794,11.0-119.0,11,119,5.0-7.3,5,7.3,1
